943,556,1077,552,1082,735,948,739
1112,390,1191,382,1192,402,1114,411
484,3,740,13,733,199,477,188
1097,554,1167,550,1172,665,1103,670
16,619,106,598,133,727,43,749
1219,379,1265,373,1267,391,1221,396
296,516,502,511,507,741,300,746
1183,378,1218,376,1220,399,1185,402
159,483,280,475,289,638,168,646
553,342,811,336,816,517,557,523
178,206,258,231,225,352,145,327
1206,143,1291,153,1265,406,1181,396
525,523,676,534,666,710,515,699
1013,260,1125,243,1140,359,1028,375
371,341,522,338,525,466,373,469
876,399,1103,377,1116,527,889,549
998,264,1047,256,1051,278,1002,287
1197,402,1258,399,1258,418,1198,421
723,457,781,456,783,568,725,569
1059,387,1110,391,1109,408,1058,405
693,71,862,57,874,240,703,252
738,278,865,270,873,393,745,400
966,41,1178,53,1170,211,958,200
383,250,411,247,419,333,391,336
270,232,327,230,328,303,272,305
260,415,385,394,399,493,275,514
1145,11,1288,4,1294,168,1152,177
1033,482,1063,479,1065,527,1036,528
922,287,984,286,985,433,924,434
1123,244,1165,238,1177,330,1135,336
518,236,569,242,559,346,508,340
1128,507,1209,500,1213,574,1134,583
505,357,565,355,569,453,509,453
758,315,801,308,803,324,761,331
874,101,970,88,985,219,889,232
1226,186,1278,191,1278,228,1221,225
339,183,414,175,424,276,349,289
1151,146,1214,145,1216,255,1152,257
511,452,589,437,607,547,529,562
472,136,500,132,507,190,479,194
1185,253,1222,252,1223,306,1186,306
794,232,823,230,827,274,797,276
1203,379,1303,384,1298,504,1198,499
