1226,141,1264,135,1266,149,1228,156
59,134,180,142,174,252,53,244
196,31,321,67,289,190,164,154
1208,287,1276,284,1277,304,1209,307
374,598,474,593,479,683,378,689
1228,332,1280,331,1280,348,1228,348
1202,76,1287,52,1297,93,1212,117
1198,161,1252,147,1255,159,1201,174
1128,318,1187,317,1187,335,1128,336
1244,158,1277,156,1278,172,1245,174
1079,507,1176,505,1177,624,1080,625
674,87,692,94,682,123,664,116
833,410,946,406,951,557,839,561
393,157,421,157,421,211,392,211
432,500,516,498,517,604,434,606
489,379,567,377,569,488,490,490
1234,162,1283,164,1282,227,1233,226
563,597,676,626,660,695,547,665
1114,222,1202,231,1192,329,1104,319
518,304,538,300,544,337,523,340
499,60,568,59,568,76,500,78
1194,172,1250,159,1254,174,1198,188
247,442,336,446,329,523,242,515
244,575,357,580,353,670,240,665
1187,30,1245,13,1256,56,1197,73
1222,346,1290,346,1290,408,1222,408
804,71,839,65,842,88,807,94
1170,189,1208,187,1210,242,1172,242
844,301,884,299,886,367,847,368
1210,389,1251,387,1255,480,1214,482
478,336,521,337,520,391,476,390
999,262,1076,247,1093,348,1016,359
412,389,485,416,453,516,380,489
556,416,587,417,583,501,552,500
1025,386,1067,383,1072,466,1031,470
47,344,92,348,86,423,41,419
956,617,1020,620,1018,672,954,670
948,544,1109,560,1102,643,942,628
308,190,358,198,349,263,299,255
