191,191,409,142,427,233,209,282
506,51,563,44,565,64,509,71
262,534,333,489,349,516,278,562
729,457,773,455,774,467,730,469
346,472,411,441,424,471,358,503
725,249,764,245,765,258,726,261
528,183,579,178,580,197,529,202
541,424,814,416,821,695,548,703
523,250,609,247,614,395,528,398
132,447,232,438,249,646,149,655
337,292,438,281,449,401,348,411
309,352,370,337,378,371,316,386
306,322,351,300,357,315,312,337
281,309,326,290,331,306,287,325
337,330,376,308,383,323,344,344
301,348,343,328,349,342,307,362
344,304,387,283,392,296,349,317
709,357,753,354,754,366,709,369
628,559,658,555,660,578,630,582
260,342,288,332,293,349,265,359
728,236,758,235,759,248,728,250
257,85,325,76,327,94,259,102
372,447,423,412,434,429,383,465
551,351,603,347,604,365,552,368
902,136,1130,126,1138,327,911,338
537,79,670,75,675,302,542,306
540,275,592,272,593,289,541,292
1150,135,1203,129,1209,190,1156,195
713,420,746,417,747,430,713,432
663,10,694,6,696,18,664,21
632,601,665,597,667,617,634,621
634,578,660,577,660,600,634,601
74,42,95,42,96,96,75,96
260,551,339,525,360,598,281,624
589,400,654,395,661,492,595,497
251,320,301,311,319,426,269,435
690,275,730,271,737,343,697,348
350,450,495,431,515,603,370,622
1006,317,1032,316,1034,361,1008,362
719,508,748,508,749,589,720,589
1129,200,1187,194,1196,283,1138,289
758,234,790,232,790,245,759,247
681,143,725,140,726,156,682,159
1133,314,1289,334,1271,490,1115,470
919,364,945,365,945,395,918,394
536,9,600,6,604,87,540,91
724,128,766,127,767,189,724,189
423,605,458,619,438,679,403,665
1211,119,1291,135,1273,235,1194,219
131,145,162,159,119,273,87,259
501,562,546,576,528,647,483,634
320,290,371,267,376,282,325,306
344,640,401,641,397,730,344,730
773,448,806,444,808,462,775,462
476,668,499,674,491,723,471,723
291,97,313,97,314,170,292,170
661,49,704,48,707,182,664,183
1112,42,1153,43,1151,145,1110,144
